Timestep;Price;HV_LOAD;beta_co;beta_gc;Input_D_LV_MED;Input_D_MV_LOAD;Input_D_LV_HIGH;Input_D_LV_LOW;Total_Input_Demand;lambda_EOM_cap_LV_MED;E_EOM_LV_MED;lambda_EOM_0_LV_MED;D_EOM_cap_LV_MED;lambda_EOM_cap_MV_LOAD;E_EOM_MV_LOAD;lambda_EOM_0_MV_LOAD;D_EOM_cap_MV_LOAD;lambda_EOM_cap_LV_HIGH;E_EOM_LV_HIGH;lambda_EOM_0_LV_HIGH;D_EOM_cap_LV_HIGH;lambda_EOM_cap_LV_LOW;E_EOM_LV_LOW;lambda_EOM_0_LV_LOW;D_EOM_cap_LV_LOW;G_WindOnshore;G_Baseload;G_MidMerit;G_Peak;C_MidMerit;C_Baseload;C_Peak;C_WindOnshore;G_LV_MED;G_MV_LOAD;G_LV_HIGH;G_LV_LOW;ENS_LV_MED;ENS_MV_LOAD;ENS_LV_HIGH;ENS_LV_LOW;D_LV_MED;D_MV_LOAD;D_LV_HIGH;D_LV_LOW;D_elastic_LV_MED;D_elastic_MV_LOAD;D_elastic_LV_HIGH;D_elastic_LV_LOW;ENS_involuntary_LV_MED;ENS_involuntary_MV_LOAD;ENS_involuntary_LV_HIGH;ENS_involuntary_LV_LOW;PV_LV_MED;PV_MV_LOAD;PV_LV_HIGH;PV_LV_LOW;PV_Total;Total_ENS;Consumer_Demand;Total_Demand;λ_dCM;C_system_total;C_dCM_vol;C_dCM_MidMerit;C_dCM_Baseload;C_dCM_Peak;C_dCM_WindOnshore;C_dCM_LV_MED;C_dCM_MV_LOAD;C_dCM_LV_HIGH;C_dCM_LV_LOW
1.0;0.10096;1.40287;0.4;0.4;1.32;3.66;0.165;0.12;5.265;2.0;-5.68146;7.62464;0.99;1.0;-0.97117;3.66587;2.745;1.2;-26.20292;4.44261;0.12375;2.5;-78.69937;9.58294;0.09;0.315;5.62918;0.73991;1.0e-5;3.8113;5.62923;2.06726;4.5;-1.32425;-3.67073;-0.16569;-0.12048;0.0;0.0;0.0;0.0;1.32425;3.67073;0.16569;0.12048;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.28115;6.68402;0.00378;16.00779;11.50773;3.81127;5.62921;2.06724;0.0;-0.0;-8.32527;-1.56526;-0.0
2.0;0.08718;1.40281;0.4;0.4;0.285;3.155;0.165;0.075;3.68;2.0;-26.31411;7.62464;0.21375;1.0;-1.12662;3.66587;2.36625;1.2;-26.20292;4.44261;0.12375;2.5;-125.91899;9.58294;0.05625;0.225;4.88236;0.00028;0.0;3.8113;5.62923;2.06726;4.5;-0.28644;-3.17648;-0.16622;-0.07541;0.0;0.0;0.0;0.0;0.28644;3.17648;0.16622;0.07541;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.70455;5.10736;0.00378;16.00779;11.50773;3.81127;5.62921;2.06724;0.0;-0.0;-8.32527;-1.56526;-0.0
3.0;0.08723;1.37684;0.4;0.4;0.255;3.155;0.165;0.105;3.68;2.0;-29.40989;7.62464;0.19125;1.0;-1.12662;3.66587;2.36625;1.2;-26.20292;4.44261;0.12375;2.5;-89.94214;9.58294;0.07875;0.18;4.90136;0.00028;0.0;3.8113;5.62923;2.06726;4.5;-0.25629;-3.17644;-0.16622;-0.10558;0.0;0.0;0.0;0.0;0.25629;3.17644;0.16622;0.10558;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.70452;5.08136;0.00378;16.00779;11.50773;3.81127;5.62921;2.06724;0.0;-0.0;-8.32527;-1.56526;-0.0
4.0;0.08722;1.35769;0.4;0.4;0.225;3.155;0.165;0.105;3.65;2.0;-33.3312;7.62464;0.16875;1.0;-1.12662;3.66587;2.36625;1.2;-26.20292;4.44261;0.12375;2.5;-89.94214;9.58294;0.07875;0.135;4.89707;0.00028;0.0;3.8113;5.62923;2.06726;4.5;-0.22614;-3.17645;-0.16622;-0.10558;0.0;0.0;0.0;0.0;0.22614;3.17645;0.16622;0.10558;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.67438;5.03206;0.00378;16.00779;11.50773;3.81127;5.62921;2.06724;0.0;-0.0;-8.32527;-1.56526;-0.0
5.0;0.0999;1.2612;0.4;0.4;0.165;4.055;0.33;0.105;4.655;2.0;-45.45164;7.62464;0.12375;1.0;-0.87657;3.66587;3.04125;1.2;-13.10146;4.44261;0.2475;2.5;-89.94214;9.58294;0.07875;0.09;5.62917;0.21263;1.0e-5;3.8113;5.62923;2.06726;4.5;-0.16555;-4.06809;-0.33147;-0.10543;0.0;0.0;0.0;0.0;0.16555;4.06809;0.33147;0.10543;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.67055;5.93174;0.00378;16.00779;11.50773;3.81127;5.62921;2.06724;0.0;-0.0;-8.32527;-1.56526;-0.0
6.0;0.10185;1.42198;0.4;0.4;0.165;4.55;0.63;0.165;5.51;2.0;-45.45164;7.62464;0.12375;1.0;-0.78121;3.66587;3.4125;1.2;-6.86267;4.44261;0.4725;2.5;-57.2359;9.58294;0.12375;0.135;5.62918;1.18374;1.0e-5;3.8113;5.62923;2.06726;4.5;-0.16551;-4.5622;-0.63252;-0.16565;0.0;0.0;0.0;0.0;0.16551;4.5622;0.63252;0.16565;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.52588;6.94786;0.00378;16.00779;11.50773;3.81127;5.62921;2.06724;0.0;-0.0;-8.32527;-1.56526;-0.0
7.0;0.1042;1.59712;0.4;0.4;0.33;4.955;1.53;0.435;7.25;2.0;-22.72582;7.62464;0.2475;1.0;-0.71735;3.66587;3.71625;1.2;-2.8258;4.44261;1.1475;2.5;-21.71017;9.58294;0.32625;0.135;5.62887;3.10051;1.0e-5;3.8113;5.62923;2.06726;4.5;-0.33092;-4.96501;-1.53529;-0.4366;0.0;0.0;0.0;0.0;0.33092;4.96501;1.53529;0.4366;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.26783;8.86495;0.00378;16.00779;11.50773;3.81127;5.62921;2.06724;0.0;-0.0;-8.32527;-1.56526;-0.0
8.0;0.15157;1.34493;0.4;0.4;0.66;4.95;2.43;0.99;9.03;2.0;-11.36291;7.62464;0.495;1.0;-0.71808;3.66587;3.7125;1.2;-1.77921;4.44261;1.8225;2.5;-9.53932;9.58294;0.7425;0.0585;5.6292;3.81123;0.79789;3.8113;5.62923;2.06726;4.5;-0.65767;-4.89403;-2.41177;-0.98868;0.0;0.0;0.0;0.0;0.65767;4.89403;2.41177;0.98868;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.95215;10.29708;0.00378;16.00779;11.50773;3.81127;5.62921;2.06724;0.0;-0.0;-8.32527;-1.56526;-0.0
9.0;0.15271;1.34381;0.4;0.4;0.9;5.25;3.0;0.576;9.726;2.0;-8.3328;7.62464;0.675;1.0;-0.67705;3.66587;3.9375;1.2;-1.44116;4.44261;2.25;2.5;-16.3957;9.58294;0.432;0.135;5.62921;3.81123;1.37112;3.8113;5.62923;2.06726;4.5;-0.88169;-5.17395;-2.9767;-0.57066;0.0;0.0;0.0;0.0;0.89669;5.18895;2.9767;0.57516;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.015;0.015;0.0;0.0045;0.0345;0.0;9.6375;10.98131;0.00378;16.00779;11.50773;3.81127;5.62921;2.06724;0.0;-0.0;-8.32527;-1.56526;-0.0
10.0;0.15315;1.22693;0.4;0.4;1.26;5.15;3.3;0.36;10.07;2.0;-5.952;7.62464;0.945;1.0;-0.69019;3.66587;3.8625;1.2;-1.31015;4.44261;2.475;2.5;-26.23312;9.58294;0.27;0.108;5.62921;3.81123;1.58753;3.8113;5.62923;2.06726;4.5;-1.22529;-5.05949;-3.27404;-0.35046;0.0;0.0;0.0;0.0;1.25529;5.08949;3.27404;0.35946;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03;0.03;0.0;0.009;0.069;0.0;9.97828;11.20521;0.00378;16.00779;11.50773;3.81127;5.62921;2.06724;0.0;-0.0;-8.32527;-1.56526;-0.0
